Title,City,Descriptions
Programadores SQL,"Ciudad Autónoma de Buenos Aires, Buenos Aires","En Experis nos encontramos en búsqueda de  Programadores SQL para trabajar en relacion de dependencia directa en uno de nuestros clientes, situado en la zona de Villa Crespo (CABA).Responsabilidades:Desarrollo en SQL para generacion de reportes, consultas a bases, stores procedures, etcRealizar soporte y mantenimiento de sistemas propios a clientes/usuarios internos  Colaborar en la investigacion de nuevas tecnologias Requisitos:Estudiantes de Carreras de Sistemas (indicar año de cursada) Experiencia minima de 1 año en desarrollos con SQLConocimiento de Bases de DatosMuy buenos conocimientos de logica de programacionExcelente actitud e interés por incorporar conocimiento ya que se lo capacitará en herramientas específicas del cliente ​Deseables:Bases de datos relacionales, SQL Server Conocimientos de CRM o ERPLugar de trabajo: Villa Crespo / Lunes a viernes de 10-18hs /Home office."

Desarrollador GuideWire SSR/SR + Policy Center- Modalidad Remota,"Ciudad Autónoma de Buenos Aires, Buenos Aires",

Desarrollador .NET JR/SSR-Modalidad Remota,"Ciudad Autónoma de Buenos Aires, Buenos Aires",

"Fullstack RoR, BackEnd Node js o Android Developer","Ciudad Autónoma de Buenos Aires, Buenos Aires","Si queres trabajar 100% remoto, con un cliente internacional y remuneración en dólares, entonces ¡esta es tu oportunidad!Estamos buscando 3 perfiles IT, y vos seguro que aplicas:1. Senior Fullstack Ruby on Rails: que maneje cualquier Framework de JavaScript: ideal Angular js pero puede ser React.2. Senior Node.js Backend: que utilice NestJS y tenga experiencia con MongoDB, Mongoose y Typescript.3. Android developer.Requisitos:Es excluyente contar con un buen nivel de inglés en todos los casos. ... Ahora si, ¡esperamos tu CV y te deseamos muchos éxitos!"

Desarrolladores RPA UiPath,"Ciudad Autónoma de Buenos Aires, Buenos Aires","Estamos en la búsqueda de un Desarrollador RPA UiPath para sumarse a nuestro equipo de trabajo. Nos enfocamos en estudiantes avanzados o recibidos de las carreras relacionadas a Sistemas de la Información.Son requisitos:Experiencia mínima de 2 años desarrollando en .NetExperiencia mínima de 1 año en análisis y documentación de procesos, BPMCertificado de haber terminado las formaciones UiPath de desarrollador avanzado. Se valora capacidad de resolución de problemas, trabajo en equipo, excelente comunicación y compromiso. Modalidad de Contratación: MonotributoLugar de trabajo: 100% remotoPosición: Full time"

